,구,지점명,주소,위도,경도
0,강남구,강남개포점,서울특별시 강남구 언주로 110 경남2차상가 후문(구룡중학교 후문 상가) ,37.4855782,127.0543594
1,강남구,강남고개점,서울특별시 강남구 학동로18길 59  ,37.5098558,127.0303148
2,강남구,강남국악고점,서울특별시 강남구 개포로22길 47  ,37.4762455,127.0500213
3,강남구,강남도곡점,서울특별시 강남구 남부순환로370길 9(도곡동)  ,37.484905,127.0424794
4,강남구,강남압구정점,서울특별시 강남구 언주로174길 29  ,37.5280809,127.0364236
5,강남구,강남역점,서울특별시 강남구 강남대로 지하 396 F-2호 ,37.4872446,127.0327813
6,강남구,강남오픈로드점,서울특별시 강남구 논현로16길 6 1층 101호 ,37.4760144,127.0470621
7,강남구,개포래미안점,서울특별시 강남구 선릉로 8 201동 왼쪽코너 ,37.4812032,127.0644888
8,강남구,논현101점,서울특별시 강남구 선릉로145길 7  ,37.5212865,127.0389138
9,강남구,논현개나리점,서울특별시 강남구 학동로26길 25  ,37.5117118,127.0301788
10,강남구,논현베스틴점,서울특별시 강남구 선릉로111길 40  ,37.5101527,127.0402929
11,강남구,논현세기점,서울특별시 강남구 학동로20길 33  ,37.5110828,127.0281961
12,강남구,논현진성점,서울특별시 강남구 논현로115길 14 넥스터빌딩 ,37.50887609999999,127.0316881
13,강남구,논현청학점,"서울특별시 강남구 도산대로 232(논현동, 청학아파트)  ",37.5205398,127.0326528
14,강남구,논현행운점,서울특별시 강남구 학동로38길 40  ,37.5122146,127.0344728
15,강남구,대웅제약점,서울특별시 강남구 봉은사로114길 12  ,37.5143876,127.0654559
16,강남구,대치은마점,서울특별시 강남구 삼성로58길 39 1층 102~103호 ,37.499418,127.0643814
17,강남구,대치타운점,서울특별시 강남구 삼성로85길 34 코너1층 ,37.5046421,127.0545159
18,강남구,대치휘문점,서울특별시 강남구 역삼로 531(대치동) 청우빌딩 ,37.5040046,127.0610103
19,강남구,대치SK점,서울특별시 강남구 삼성로51길 11 강남대학교 카이로스빌딩 ,37.4961919,127.0606459
20,강남구,도산대로점,서울특별시 강남구 도산대로 309 1층 ,37.5223094,127.0351731
21,강남구,삼성119점,서울특별시 강남구 봉은사로 478 1층 109호 ,37.5125979,127.0527607
22,강남구,삼성에이스점,서울특별시 강남구 영동대로 640  ,37.5180985,127.0591595
23,강남구,삼성중앙점,서울특별시 강남구 영동대로96길 37(삼성동)  ,37.5116326,127.0655128
24,강남구,선릉청운점,서울특별시 강남구 선릉로 578(삼성동) 태정빌딩 ,37.5100487,127.0441423
25,강남구,스타필드코엑스몰1호점,서울특별시 강남구 영동대로 513(삼성동) B1 P101호 ,37.5101935,127.0585824
26,강남구,스타필드코엑스몰2호점,서울특별시 강남구 영동대로 513(삼성동) 1F B001호 ,37.5101935,127.0585824
27,강남구,스타필드코엑스몰3호점,서울특별시 강남구 영동대로 513(삼성동) 1F A105호 ,37.5101935,127.0585824
28,강남구,스타필드코엑스몰4호점,서울특별시 강남구 영동대로 513(삼성동) B1 C109호 ,37.5101935,127.0585824
29,강남구,스타필드코엑스몰5호점,서울특별시 강남구 영동대로 513(삼성동) B1 B116호 ,37.5101935,127.0585824
30,강남구,엔씨타워점,서울특별시 강남구  테헤란로 509 1층 ,37.5077414,127.0581913
31,강남구,역삼리테일점,서울특별시 강남구 언주로103길 10  ,37.5062083,127.0379507
32,강남구,역삼서희점,서울특별시 강남구 도곡로3길 19  ,37.4914026,127.0326232
33,강남구,역삼센터점,서울특별시 강남구 테헤란로38길 40 1층 ,37.4999954,127.0427617
34,강남구,역삼승리점,서울특별시 강남구 강남대로94길 55  ,37.5004833,127.0316495
35,강남구,역삼신한점,서울특별시 강남구 역삼로 176  ,37.4953227,127.038463
36,강남구,역삼은성점,서울특별시 강남구 논현로68길 12 1층 ,37.4945895,127.040932
37,강남구,역삼자이점,서울특별시 강남구 언주로 408 역삼자이상가 1층 117호 ,37.4994312,127.0446711
38,강남구,역삼중앙점,서울특별시 강남구 논현로85길 70  ,37.4976447,127.0324914
39,강남구,역삼초교점,서울특별시 강남구 역삼로8길 21  ,37.4927366,127.0342442
40,강남구,역삼테헤란점,서울특별시 강남구 테헤란로14길 36  ,37.4969778,127.0337971
41,강남구,역삼푸르지오점,서울특별시 강남구 논현로85길 52  ,37.498056,127.0338646
42,강남구,역삼휴먼터치빌점,서울특별시 강남구 논현로 565  ,37.5064572,127.0337383
43,강남구,역삼Delivery점,서울특별시 강남구 논현로72길 31 1층 ,37.4964659,127.0417505
44,강남구,영동대로점,서울특별시 강남구  영동대로 732 (청담동) 청담빌딩 ,37.52333309999999,127.055821
45,강남구,청담본점,서울특별시 강남구 도산대로 57길 22 지하 1층 ,37.5250539,127.0416916
46,강남구,청담에이스점,서울특별시 강남구 도산대로 542 101호 ,37.5245549,127.053001
47,강남구,청담하나점,서울특별시 강남구 도산대로78길 31(청담동)  ,37.5221938,127.046354
