,구,지점명,주소,위도,경도
0,강남구,한강잠원2점,서울 강남구 압구정로11길 37-30,37.5272668,127.0174561
1,강남구,도곡드림점,서울 강남구 논현로38길 22,37.4851838,127.0433103
2,강남구,강남신사점,"서울 강남구 도산대로1길 20, 1층",37.51798,127.0199777
3,강남구,수서벤처점,서울 강남구 밤고개로1길 10,37.4879855,127.1017774
4,강남구,청담대로점,서울특별시 강남구 도산대로 511 (청담동),37.524716,127.049166
5,강남구,도곡센트레빌점,서울 강남구 선릉로 206,37.4925092,127.0559479
6,강남구,테헤란로점,"서울 강남구 테헤란로 428, 1층 105호",37.5056037,127.0542018
7,강남구,삼성베스트점,서울 강남구 삼성로104길 12,37.5108204,127.055723
8,강남구,역삼만남점,서울 강남구 테헤란로6길 47,37.4955369,127.0318129
9,강남구,논현삼릉역점,서울 강남구 봉은사로 327,37.5101538,127.0426456
10,강남구,역삼태광점,서울 강남구 테헤란로34길 7,37.5010846,127.0403049
11,강남구,강남시티3점,서울 강남구 테헤란로 103,37.4984765,127.0283403
12,강남구,논현한바위점,서울 강남구 강남대로118길 30,37.5068196,127.0257529
13,강남구,역삼타워점,서울 강남구 강남대로84길 16,37.4966521,127.0300128
14,강남구,삼성플러스원점,서울 강남구 봉은사로57길 13 (삼성동) 프리스원센터빌딩 지하1층 일부,37.5115481,127.0449262
15,강남구,논현힐탑점,서울 강남구 논현로 639,37.5105313,127.0320332
16,강남구,신사만남점,서울 강남구 강남대로152길 26,37.51751,127.0215461
17,강남구,삼성현대점,서울 강남구 영동대로106길 9,37.5134659,127.0618329
18,강남구,논현보람점,서울 강남구 논현로132길 15,37.5152193,127.0317939
19,강남구,압구정스퀘어점,서울 강남구 압구정로34길 11 압구정스퀘어 104호,37.526725,127.0303
20,강남구,신사증권점,"서울 강남구 압구정로30길 18, 1층",37.5262701,127.0289891
21,강남구,도곡공원점,서울 강남구 도곡로4길 5,37.4895461,127.0333829
22,강남구,강남센터점,서울 강남구 강남대로96길 5,37.4997792,127.0274413
23,강남구,대청역점,서울 강남구 개포로 623,37.493935,127.0796226
24,강남구,역삼충현점,서울 강남구 봉은사로30길 28,37.5056511,127.0354373
25,강남구,프린세스점,서울특별시 강남구 압구정로46길 23,37.5271434,127.0364866
26,강남구,역삼성지점,서울 강남구 테헤란로43길 10,37.5038458,127.0441263
27,강남구,대치시내점,서울 강남구 도곡로77길 7,37.4987691,127.0583481
28,강남구,논현행운점,서울 강남구 선릉로129길 15,37.5159769,127.0402783
29,강남구,청담누리점,서울 강남구 도산대로57길 7,37.5240722,127.041091
30,강남구,역삼디오빌점,서울 강남구 언주로 427,37.5013456,127.0427038
