,구,지점명,주소,위도,경도
0,강남구,강남대청점,서울특별시 강남구 개포로109길 5 강남종합사회복지관 1층 102호(개포동),37.4922493,127.074588
1,강남구,강남도곡로점,서울특별시 강남구 논현로57길 24 1층,37.4912481,127.0391111
2,강남구,강남도곡점,서울특별시 강남구 남부순환로361길 6 1층 106호 (도곡동),37.4856614,127.0375499
3,강남구,강남롯데점,서울시 강남구 선릉로64길 15 1층-2,37.4980613,127.0534476
4,강남구,강남선릉점,서울특별시 강남구 언주로98길 37,37.5046848,127.0448056
5,강남구,강남언주로점,서울특별시 강남구 테헤란로53길 62 101호,37.50737,127.0438145
6,강남구,강남인텔렉스점,서울특별시 강남구 논현동 261 현대인텔렉스빌딩 지하1층 1호,37.5117092,127.036271
7,강남구,강남일원점,서울특별시 강남구 일원로 95 (일원동),37.4856712,127.0835425
8,강남구,강남청담점,"서울특별시 강남구 학동로82길 21 (삼성동64, 제1층 코너상가)",37.5175921,127.0519363
9,강남구,강남푸르지오시티점,"서울특별시 강남구 역삼동 825-20(테헤란로4길 6,126호)",37.4977172,127.0291474
10,강남구,강남학동점,서울특별시 강남구 언주로150길 51,37.5221261,127.038334
11,강남구,강남IBC점,서울특별시 강남구 테헤란로 7길 8,37.4997517,127.031107
12,강남구,강남SLI점,서울특별시 강남구 선릉로69길 7 (역삼동),37.49840810000001,127.0511905
13,강남구,강남YMCA점,서울특별시 강남구 봉은사로37길 28 (논현동),37.5100163,127.0359388
14,강남구,개포1호점,서울특별시 강남구 선릉로 48 (개포동),37.4835667,127.0597262
15,강남구,개포2호점,서울특별시 강남구 개포로 512(개포동),37.4893117,127.0688124
16,강남구,개포5단지점,서울특별시 강남구 삼성로4길 17 주공아파트 상가동 105호,37.4875354,127.0686558
17,강남구,개포그린점,서울특별시 강남구 논현로4길 22,37.4730132,127.051905
18,강남구,개포본점,서울특별시 강남구 개포로28길 15 1층(개포동),37.478046,127.049942
19,강남구,개포주공점,서울특별시 강남구 삼성로 38 개포빌딩 1층,37.48865,127.0668327
20,강남구,개포타운점,"서울특별시 강남구 선릉로4길 5 제경빌딩 제1층 1,2호(개포동)",37.4823423,127.0616716
21,강남구,개포현대점,서울특별시 강남구 개포로 265 개포동 105호,37.4807801,127.0530065
22,강남구,거평타운점 B,서울특별시 강남구 봉은사로 129 (논현동),37.50588279999999,127.0283077
23,강남구,공항타워점,서울특별시 강남구 영동대로 513 B21호(삼성동),37.5101935,127.0585824
24,강남구,논현11호점,서울특별시 강남구 선릉로131길 4 (논현동),37.5179327,127.0405643
25,강남구,논현12호점,서울특별시 강남구 강남대로 128길 48(논현동),37.5111526,127.0256208
26,강남구,논현13호점,서울특별시 강남구 학동로43길 14 (논현동),37.5170337,127.037491
27,강남구,논현14호점,서울특별시 강남구 논현로149길 35 (논현동),37.5175833,127.0257227
28,강남구,논현2호점,서울특별시 강남구 언주로 712 (논현동),37.5172365,127.0357237
29,강남구,논현4호점,서울특별시 강남구 논현로 720(논현동),37.5163498,127.0298925
30,강남구,논현6호점,서울특별시 강남구 도산대로46길 11 (논현동),37.521248,127.0366212
31,강남구,논현건설회관점,"서울특별시 강남구 학동로37길 23, 1층 103호(논현동)",37.5168164,127.0342688
32,강남구,논현경복점,서울특별시 강남구 봉은사로43길 21(논현동),37.51053,127.0393775
33,강남구,논현본점,서울특별시 강남구 도산대로 30길 8 (논현동),37.5192657,127.0292484
34,강남구,논현스타우스점,서울특별시 강남구 강남대로124길 46(논현동),37.509731,127.0259809
35,강남구,논현스타점,서울특별시 강남구 봉은사로1길 42(논현동),37.5074326,127.0241434
36,강남구,논현제일점,서울특별시 강남구 선릉로 641 (논현동),37.5137306,127.0422707
37,강남구,논현중앙점,서울특별시 강남구 선릉로129길 20 (논현동),37.516077,127.0398381
38,강남구,논현타운점,서울특별시 강남구 언주로147길 37 (논현동),37.5190623,127.0312454
39,강남구,논현학나래점,서울특별시 강남구 강남대로136길 7(논현동),37.5131267,127.0213635
40,강남구,논현학동공원점,서울특별시 강남구 언주로147길 5(논현동),37.5198305,127.0339448
41,강남구,논현한어울림점,서울특별시 강남구 학동로12길 47(논현동),37.5099386,127.0278807
42,강남구,논현한영점,서울특별시 강남구 봉은사로 29길 4(논현동),37.5080208,127.0348673
